text,label
i haven t been away for many months and all of a sudden i feel thrilled,joy
i am feeling a bit greedy,anger
i have seen that whenever i am happy something happens and that changes my mood sometimes i feel that people should stop caring form me so that i can at least live the way i always do,love
i feel as if i can hold an intelligent conversation and make literal references making me feel smarter but i also feel as if i realized what was important in life,joy
i muttered utterly unable to restrain myself but speaking in a friendly way and feeling quite fond of him,love
i would immerse myself but it just isnt easy when you feel like crap and it takes all of your energy to walk from one room to the next regaining my strength has been long and boring,sadness
ive mentioned bike attire in the past but now that its summer and theyre out in hordes i feel that because im using my bike for transportation rather than hardcore recreation ive somehow offended the entire population of the city just because i was too lazy to put socks on,anger
im still feeling a bit shaken and stirred after finishing this book just a couple hours ago so youll have to bear with me while i attempt to put my thoughts into some sort of coherent pattern here,fear
i couldn t get over the feeling that they all actually hated me and were just being fake,sadness
i don t feel as relaxed when i sleep because of this,joy
i tian xiong feel surprised to is zheng shuang to unexpectedly have two pistols one gun li tian xiong is with borrow to respond to stay away but second gun if zhang xiao yu doesn t make moves li tian xiong may be beaten in,surprise
i barely got many texts from her i feel like i m being ignored and i feel like i m only there when she needs something we have talked many times and expressed our feelings and up until recently she was very defensive about the situation of living in the same house with her ex,sadness
i feel helpless and scared and all of these things i cant describe and i never thought of myself as a control freak but im recognizing that feeding my feelings is my way to control something in the midst of chaos,fear
i had no immediate response though in retrospect i feel i could have said so many things to convince her to be gentle with the love pony and ride her nice and easy,love
ive been feeling a little dazed and creatively drained for the past week considering the output ive set up for myself that can hardly be surprising,surprise
i feel about any of that but it sounds funny when you say it,surprise
i kept myself busy realising again that i feel lonely,sadness
i do not feel like a valued middle manager,joy
i feel they must have been impressed with my interviews if they hired me knowing that i would be away in a very crucial part of the beginning,surprise
i saw a room full of people who sacrificed how they felt most of the time for how they thought more money more success more stuff and a better presentation of who they are would make them feel funny thing is most of them had already achieved what the world would call success,surprise
i got out the broom while ignoring the baby who wanted out of the high chair and delaying the start of the school day two things that make me feel like a horrible mother and cause the rest of the day to go even worse while hubby would say something unhelpful like just calm down its ok,sadness
i do really feel like i want to talk about it but if i do i am afraid of becoming like that,fear
i dont really know how to articulate why i feel so emotional at the thought of it,sadness
id say that most of the bands i have gone to see in concert i had previously seen on tv or in movies but for some reason this was more amazing and i cant help but feel that i am more amazed than i should be,surprise
i feel like a despised boss is finally quitting the company that i work for,anger
i feel there were many sweet encounters with god and people this week which brought amazing perspective,love
i have observed that the older the tree the lower the vibration slower deeper like a hypnotic chant that drains the hectic energy out of you till all you feel is calm,joy
i either tell him what s going through my mind and risk destroying everything i ve worked so hard to achieve or let this opportunity pass and never feel resolved and lose out on that money my family and i could use but can i really sum my worth into a thousand dollars,joy
i often feel myself useless or that i am wasting time if i am not spending it effectively in other words studying or working,sadness
i feel welcomed at appropriate services or events that are segregated by sexual identity such as general i,joy
i just feel really out of place there as a guy and im not so fond of coming home looking like ive been mauled by a pack of marauding faeries after putting out the glittery cards,love
i say i wish shed found out the whole score its more because i feel sad at the idea of her finishing up different from me and tommy,sadness
i know i sound very stupid but why i feel amazing because that is what makes me confident i look at it and know that as the last day i ever felt ugly again and i kept that promise to myself,surprise
i feel it was the inclusion of so many a target blank title diagonal lines href http www,sadness
i had to do was to pee when some girl was looking ye this didn t feel strange at all,surprise
i feel we have the device and i am exceedingly impressed,surprise
i feel shy and invisible and just watch as she passes touched by her courage strength and poise,fear
im actually being strong inside to fight with my own feeling they say im nerd but they dont know im faithful enough to keep promise,joy
i feel helpless due to that sheer charisma of her wishes to warp up my world of wonders and step back to her wonderful beauty,fear
i feel a strange sadness that is too familiar at times like this always preceeding a trip away from home,surprise
i crave stability and happiness and i want my kids to grow up feeling loved and enriched by the environment we have created here,love
i feel hated by everybody,anger
im feeling bitchy im a bitch or i feel like bitching,anger
i am still feeling a little romantic and dreaming of a picnic,love
i feel the mountains near me i like to be surprised by my old leica and her infinite magic she reads my mind and soul we are one,surprise
i take the money and when theres no people from whom to extract said money i read a book or if someone is feeling sympathetic partake in the dancing a little,love
i feel like i should tell you what happens little laura before you get too caught up in your romantic notions,love
i feel like if u r in a relationship with somone then u shud be faithful reguardless if u r married or not,love
i will never feel respected and appreciated by my daughter,joy
i love being comfy that is my main goal when i look for new clothes i cannot stand feeling uncomfortable in something,fear
i sat in my bedroom the whole of sunday the nd of december feeling very funny and low,surprise
i am going to talk about all aspects be it a recipe a restaurant review a tv programme book or just about anything that has something to do with food please feel free to leave comments and to contact me,joy
i feel kind of grouchy,anger
i opt out of things or feel i can t be useful for things requiring any sort of body strength,joy
i feel absolutely appalled and overwhelmed,anger
i am heading off looking for some little addition for my kitchen or bathroom or some part of my home that i feel needs a reminder of this lovely place,love
im walking around a hardware store the other day trying to find a certain screw that i need when wham i feel all dazed and light headed,surprise
i know you re feeling shocked too,surprise
i still don t see the value there but i feel like crap today and i was curious and somehow that prompted me to do it,surprise
im thinking about the relay tmrw and it just makes me feel scared and excited at the same time,fear
i possibly reconcile this with the fact that i sometimes feel super isolated and lonely,joy
i am sitting on the sofa feeling very annoyed with life for no particular reason,anger
i began to feel hesitant in bringing it up and perhaps a bit of defensiveness,fear
i am feeling a bit frustrated today,anger
i don t feel gentle and quiet when i don t feel gentle and quiet img style background image none border bottom px border left px padding left px padding right px display inline border top px border right px padding top px title border alt src http hoperoadblog,love
i just feel so unwelcome in this house,sadness
i feel mad because i have been nice twice and he wont take no for an answer and i know that next time when i am rude then i will look and feel bad when if he would just take no for an answer i wouldnt be put in this position,anger
i feel like i ve been watching this tendency in other people all week honesty would say that on many occasions i ve been shocked at my own ability to be everything opposed to compassion,surprise
i also hate the feeling of forcing my values onto others not celebrating not buying others gifts for the sake of not supporting consumerism,love
i am the sole witness to so many of the details in the lives of my children at this time and i feel honoured and rich to be the holder of such treasure,joy
i have come to feel like a devoted caprican,love
i am feeling quite nervous tonight and worry that i am not sufficiently prepared for this but ill give it my best shot and try to take it easy and as much as possible try to walk as he walked grace and peace to all,fear
i would like the chance to get out of it as i feel i was wronged and my license revoked for six months would not be pretty and wouldn t help my college classes much transportation issues if a lawyer is hired what are the chances i get out of this ticket,anger
i feel hesitant and very much like an intruder but the translator asks him if we can use it,fear
im feeling so thrilled and impulsive,joy
ive also noticed a decreased desire to run i often feel disheartened either at the beginning or halfway through my runs which screams overtraining,sadness
i feel i just hated the world,anger
im so angry i feel violent,anger
i feel like as a society people are more rude and more obnoxious than ever,anger
i feel that longing for his darshan,love
i kan sometimes feel like a blogger addict uhhh sweet feeling p but after the holidays i was busy working taking care of lyn working going out working etc,joy
i feel the life of the divine fiat span style font size pt mso bidi font size,joy
i don t know whether to feel flattered or stunned or just pure disgusted whatever it is it s going to be eventually sorted out because this is the way life works thank god for that because all things work for the good of those who love the lord who have been called according to his purpose,surprise
i feel like they realize how strange i am and decide to give up because they cant handle me,surprise
i am feeling in a rut or impatient usually when i want things i am passionate about to take off faster then they should,anger
i whispered feeling terrified,fear
i know half or maybe more of that time its cause youre feeling insecure,fear
i feel sorta discontent and restless all the time,sadness
i feel it wrap its eager hand around my throat and i stare at other human beings in disbelief that they seem to think they have time to fucking spare,joy
i think about and feel the warmth of happy memories like the exhilaration of new life some make me feel like my blood is running needles through my veins mostly its a mixture of both,joy
i ever do things right feel so shitty no,sadness
im beginning to feel very hesitant about wanting to go back to borders while i am looking for a permanent job,fear
i am not a touchy person and when i am feeling needy my eew y actions will only be directed to people who matter,sadness
im not going to feel lonely,sadness
i feeling this way because i am scared to become a mother,fear
i am all the time is bound to feel lethargic depressed eating hardly i ve lost pounds in a month,sadness
i mean doesnt anyone feel that life is boring at times,sadness
i feel curious to want to own goods then i belong to a member of group to support some designers,surprise
i plastered a smile on my face feeling foolish for overreacting,sadness
i love red wine and feel it was such an important part of who i am,joy
on the way home one friday night in the heavy rain the car acquaplanned i lost contact with the road surface for a few seconds,fear
i remember feeling embarrassed by the view camera when i went out in public to use it by how much attention it got,sadness
i was feeling rather distraught,fear
i feel like ive missed out on so much of his life lately,sadness
i blinked feeling more than a little stunned that ami had put into words the tension that had shimmered between them so long,surprise
i feel the gentle yet powerful spirit of this king through my entire being,love
i don t want you to feel violent instead of i don t want you to feel awkward,anger
i never thought losing my touring partner would make me feel so popular or persuasive,joy
i have to say i was feeling a little pleased with myself that my daughter was starting to get this potty concept and hey one less diaper to change,joy
i feel enthralled by the lyrics and the rhythm,surprise
i really wanted to take a photo but i had a feeling it would be rude so i abstained,anger
i was walking for about hours i started to feel a little dazed and thats when i passed out,surprise
i never knew i could be so weak i couldnt even fight what i was feeling i knew i hated to feel that way yet i just let the emotions run free i acted waaay childishly like a child deprived of candies,anger
i had been feeling funny since right after the birth trying to feel better by drinking a bunch of water and eating a slice of pizza yum,surprise
i didnt feel any chemistry between the two characters and when they were together there was never a romantic atmosphere that built up to something special,love
i start to feel tortured you can also hear my voice better,fear
i mean actually feeling depressed,sadness
i feel like i wouldnt have a longing if only we could have a baby and have that new experience together,love
i just hate when i am faced with feeling foolish for trusting the wrong people even if i wanted them to be so much better than what everyone else saw that i didnt,sadness
i am ticking the meals off the meal plan i devised and due to my birthday last week and all the lovely presents i received im not feeling too deprived,sadness
i am curious how long it will take before i stop feeling amazed at how beautiful a place windsor is,surprise
i feel doubtful about it,fear
i feel numb to everything right now,sadness
i junzhe smiled and said look before you speak mao houdun feel shy to say that these words are from where to come,fear
i am feeling playful and fun,joy
i still havent processed it and made up my mind about how i feel about it yet so i dont want to be the petty or vengeful one,anger
i feel foolish but at times i can tend to behave what may seem irrationally to those who manage to hang on to their prize collections for years or decades,sadness
i wasnt feeling particularly horny plus i was aware that she may not be up for it for a variety of reasons,love
i am feeling shocked sad surprised that his anger is so intense and violent that it had to resort to him shooting and killing his cat and the worst part is his daughter saw it,surprise
im feeling very disillusioned as of late,sadness
i do enjoy cooking for my dad days of the year i feel that fathers day is just another special day for me to show him how much i love him,joy
i am feeling particularly gracious i will thank her in person,love
i no longer feel hate towards this person and i can even sincerely say that i do love this person and in a strange way i feel thankful to them as i feel theyve helped me to become who i am today and helped form the foundation that allowed me to change and which gives me the willingness to continue,surprise
i was very young i liked taking photoes and i feel very enjoybale when someone is taking photoes for me i like show my self to others and often smile and make some funny poses,surprise
i love him even more because after learning about that and listening to the buzz beeps he makes for communication i can tell how he s feeling curious explanatory angry annoyed saddened,surprise
i also feel that if all of your energy should be devoted to them then the points should matter,love
i see two men holding each other hand walking down the street i feel weird,surprise
i feel like god is telling me brenda your impressed by that,surprise
i feel god has given me so many answers to this question but without spoon feeding you my thoughts i m curious to know and hear your whys,surprise
i wanted to get closer again but found myself feeling hesitant of being startled again by that sudden downright assaultive noise,fear
i am not alone feeling dreaming loving as i do,love
i almost felt sorry for him because writers seemed to spend so much time calling guys like rickey henderson a hot dog that i was worried that leonard the real deal when it came to attitude and cockiness as far as i was concerned would feel slighted for not being hated as much,anger
i remember was a part when i had longer hair and my mom cut my fringe short against my will and i remember feeling distraught at this act,fear
i no longer feel like a caveman when trying to communicate and b i will always be faithful to you regardless of the temptations that may arise,joy
i had to take them out for a while leaving me feeling even more distressed,fear
i know how you feel i hated school also,anger
i over dye my hair far too much and sometimes feel like i need a helping hand in getting it into better condition,joy
i went through some difficult years years of crying myself to sleep of being discouraged and sad of feeling extremely inadequate,sadness
i stood in front of the building feeling very strange,surprise
i feel frightened having to take a stand and i am torn between wanting to help and wanting to have a better quality of life for myself,fear
im an outdoor person and crave being outside and feeling a cool breeze,joy
i see the trees and flowers in springtime bloom feel a gentle breeze see neighbors walking their dogs,love
i would have expected to feel more frightened for the young heroes more anticipatory of what was to come more dread at voldemort s regained power,fear
i am finally getting there with my christmas shopping i have had my highlights done and im feeling very festive,joy
i feel bad for teenager max wittek and the usc t,sadness
i am feeling a little overwhelmed today,surprise
i feel fabulous,joy
im feeling is yes i am useless,sadness
i feel like a jar of river water all shaken up and the sediment that swirled inside the jar is emotions thoughts and inner wrestlings all swirling sediment inside of me,fear
i bet he feels terrific,joy
i have one child who struggles with coordination but seems to have a plethera of confidence while my child who is naturally athletic tends to feel a bit insecure at times,fear
i feel insulted and disappointed by their answer,anger
ive been able to be on the computer for something other than work and i feel like ive been neglecting you my faithful few followers,love
i think they do betray the fact that im feeling a little bitchy grinchy but i take full responsibility for my mood,anger
i feel very blessed on this thanksgiving,joy
i am feeling absolutely amazing,surprise
i feel a bit homesick as well but i want to be positive and enjoy the time i have left here,sadness
i feel like writing again are the strange and shocking discoveries of the corporate world,surprise
i have just been taking it one day at a time hoping that i will stop feeling this way maybe even move on but i cant seem to let go of caring about him,love
ill feeling so crappy now because ethics is being a bitch,sadness
i feel like a naughty schoolgirl,love
i feel uncertain pulled in two different directions,fear
i would catch glimpses of her from the window soaring through the air perfectly happy by herself and would simply feel amazed to have such a fantastic year old,surprise
i would love to visit your site if you have one so please feel free to include your website address in your comment,joy
i didnt want you to feel lonely i decided to add an onion to the pan to keep you company,sadness
i feel the movie stayed faithful to the book,love
i can feel exhausted and even offended by the constant barrage of materialistic glitz and glitter of worldly commercialism,sadness
i simply feel like i m supporting someone who is in a similar position as myself,love
i feel and the faith that i find through the bitter sweet tears and the sleepless nights,anger
i have been feeling fine no new pains aches or anything out of the ordinary,joy
i bottle it up and sporadically unleash it in seething boiling streams at those closest to me before apologising profusely and feeling shitty about myself,sadness
i do occasionally cross into taboo land and ask my medical friends either the ones already finished with med school or the lovely oonagh king who is nearly there questions when i feel like my gp has determined that im his tenth hypochondriac of the day,joy
i have been pretty resistant to starting any type of fertility treatment because of the side effects of taking all these drugs and sometimes i already feel like it takes all my control to not lash out at the world so i m curious if this is just me or if other people have felt the same,surprise
i discovered that i could be dangerously honest with you and it made me feel frantic and wonderful,fear
i could feel all kinds of hateful eyes on me but i could see no one,anger
i feel guilty that we moved on so quickly short months after he was pulled from our arms we were expecting again,sadness
i feel like a seriously devoted person,love
i feel a twinge of guilt when i read a people magazine because i feel like i m supporting the notion that an actor or actress including their children is more important than anybody else,love
i can visit just a few steps from my front door to remember him helps me feel calm again,joy
im feeling intimidated by her,fear
i growled at her i began to feel extremely annoyed with her,anger
im sure ill feel overwhelmed when i get on the plane and im sure ill feel overwhelmed when we land,surprise
i struggled to feel those gooshy lovey affectionate feelings for her,love
i think i m ready though i think i m equipped to face the feelings that i have convinced myself will come,joy
i feel for the nomenclatura who must make the unpleasant pilgrimage to the daily show in order to hawk their efforts,sadness
im feeling generous heres one of my favorite rockabilly latino western swing bands the mavericks knocking over one of my favorites all you ever do is bring me down iframe width height src www,love
i like the song a lot because to me it sort of has a jim croce folk story feel to it but i m really curious as to whose perspective it s written from,surprise
i put my hand there it took awhile to finally feel something that i knew wasnt just my stomach but when i did it was so wonderful,joy
i feel funny in the topics i told for those days i just wanted to have some things to narrative,surprise
i think about the point where i am fit again what that will look like and what that will feel like sometimes i become afraid,fear
i use it for just about anything from shopping to throwing it around when i am feeling a little less than graceful,joy
i felt the contrast because i was being given so many choices and ya know choices do make you feel rich sometimes,joy
i kinda like feeling overwhelmed when you get close to me im not a dainty thing you know im not use to this sort of thing being swept up thrown and handled like i barely weigh a thing,surprise
i dont know what all has happened but i know that i dont want to try and get up because i feel so dazed and foggy,surprise
i see an audience member i know i want them to feel amazed when they see my performance,surprise
i feel a bit sarcastic,anger
i feel afraid of thunder but this rain cant last forever,fear
i feel like i am loyal to people and give them my best,love
ii said sufficient as knowledge for a person is that he fears allah and sufficient as ignorance for a person is that he feels impressed with the knowledge he has,surprise
i think at times when i feel too much longing i stop writing for a while,love
i know what it feels like to lose friends in a tragic way and so my heart goes out to you all,sadness
i feel personally insulted that others don t thank you,anger
i left feeling confused about what had just happened cheated as i was the only to make a donation and frankly my experience only solidifies my thoughts on religion it should never be forced on people and business should never mingle with religion,fear
i have been feeling amazing sore but amazing,surprise
i actually dont have a very good support system at home zo is months old and has no idea what its like to worry about weight problems and my husband who definitely knows what its like to be fat doesnt care about how he looks his health and sometimes i feel like he resents me for caring,love
i feel love and indie electro artists hot chip s interpretation of sunset people,love
i had a really good time and i feel very carefree,joy
discussion with my mother about the way to educate my children i felt anger against my mother,anger
i thought at least i would feel awkward and uncomfortable,sadness
i feel sure most bloggers who write multiple posts everyday would agree with me on that,joy
i want to feel worthwhile and enjoyable,joy
i am feeling very indecisive,fear
i feel like i m being greedy because i would have settled for one in a row not too long ago,anger
im feeling a little shaken about that,fear
i cant imagine shes feeling all that inspired now,joy
i made it to kuujjuaq and i think im feeling a bit culture shocked,surprise
i am not feeling reassured,joy
i was feeling too sweet if you know what i mean so i rapidly inhaled a bag of chips,love
i am still feeling sweet from this whole night a week later,love
i have admit that the bouncy hot and dusty drive to our next site left me feeling jaded,sadness
i shared my feelings with him he only got annoyed and our conversations kept getting repetitive,anger
i feel like a mashed potato i always wrote in a blank white paper,sadness
i feel so anxious,fear
i feel pretty amazing,surprise
i asked some bloggers over at dp how they feel about the splog vultures and most aren t too keen on the idea,joy
i keep going when trying to muster up the courage to attack on days when im feeling beaten by my house,sadness
i could feel that he was quite reluctant to let me know more over messages and he insisted that we have to meet at his office when i suggested that we settle at jp if he feels the need to talk to me in person so that he can let me take a look at their facilities,fear
i am not feeling distressed or stretched beyond my capacity,fear
i feel like im just caught in this strange limbo where im not sure if im progressing in any particular direction,surprise
i feel god s presence very near and mostly they are when i am suffering or with people who are suffering and i guess that answers a bit of my question,sadness
i feel like i ve been more irritable fake with people than i used to be and that s not me,anger
i was feeling more irritated than ever,anger
i am actually feeling rather apprehensive now i have seen the nutrition plan and exercise plans on the website,fear
i also remember feeling pretty bitter about some people getting pregnant only for them to suffer a miscarriage,anger
im feeling frustrated because all i want to do is clean my house and do laundry but im so jumbled up in what should come first and if i will feel clean enough to touch my own laundry that anymore its undone,anger
i woke up feeling fine but then someone on fb said something that irritated me and now everythings irritating me,joy
i can t blame them for how they feel and i can t be blamed for my feelings,sadness
i feel less than gracious,love
i feel that we shouldnt propagate the truth and give sincere advice to others in the right time and place,joy
i didnt really feel like i felt one way or the other but even i was surprised lol,surprise
i know most of you know how i feel and can probably be sympathetic,love
i awake on saturday feeling a bit strange,surprise
when i see how people around me pass by certain unjustice because of indifference or cowardice,anger
i feel really listless as im used to running from one place to the next,sadness
i can t help but feel a little like vinnie barbarino of the beloved welcome back kotter,love
i really feel helpless and i have to trust you that you will do something for k,fear
i cheer myself up when feeling rejected,sadness
i feel uptight and resentful that they dont seem to understand that i am busy,fear
im already feeling stressed about salvaging the friendship as time goes by i realize theres also another point that isnt helping,sadness
i feel very regretful and sad at the fact i have done things to make things worse and hurt his feelings,sadness
i wake up feeling frantic that time is running out,fear
i feel hated and unwanted all without any words being said,anger
i also feel pretty dirty having used the words raw extending and deep ball to describe roethlisberger,sadness
i feel so violent sometimes or just crazy i don t know,anger
i know they want me to stay but i just feel like none of them are supporting me in a sense of giving me rational reasons to why i should stay other than all of them are staying,love
i do not own any rights to the tracks i tend to use music that i others like so feel liked if your music has been used,love
i mean what a way to live your life feeling angry and entitled and never being able to really connect with the opposite sex on a personal and human level because you dont regard them as being human,anger
i feel today makes me want to help strangers too even the often cranky rude customers i encounter on a daily basis,anger
im feeling very generous right now so heres an awesome treat for all of my health conscious followers,love
i really relate to the blacks i know how it feels to be hated for the color of my skin or for being some cracker ass yankee living in the south,anger
im not particularly upset about it but i feel that i need to tell hayley that im not impressed with her since i could have been interested in him and could have been easily upset by her actions,surprise
i got a ticket from the cops for tag teaming two people through the subway turnstile so im feeling hesitant to buy shit recently,fear
i feel so far i m hours in and i m not impressed,surprise
i feel about rich people,joy
i feel lovely sexy and empowered when i groove to miss bossy,love
i feel uncomfortable using the word awesome but this idea actually is,fear
i feel terrified at the thought of it,fear
i feel that the disturb a curfew is tender up and down,love
i feel bitter and devastated that the city rejected so many people in their own community,anger
i am so completely insecure that i always just see myself as annoying but i do certain things because i feel lead to do them and am always amazed at the results,surprise
i feel like i m slurring and i just feel really weird and i m freaking out,surprise
i do the dishes i will look at it and it will keep me from feeling resentful that i am the one doing the dishes,anger
i feel like every few minutes my eyes glaze over and i go back to horrible moments along with all the feelings,sadness
i try not thinking about it all because im so shit at letting people know how i feel not that it would matter if i did id never be liked back,love
i still feel amazed,surprise
i think you see that this urge to tidy up when life feels so very messy is a very human trait,sadness
i am finding that i just dont want crappy food now i feel good i want it to stay that way,joy
i feel very submissive toward my husband and at piece with the world,sadness
i immediately liked this new feeling of not caring,love
i am feeling very dissatisfied with my job,anger
i received from the faculty i feel like i have friends in the school that are rooting for me and supporting me through every step,love
i also feel very very insecure right now and am afraid of being alone,fear
i think i feel intimidated by her,fear
i feel blessed that both he and i felt that recognition and acted on it,joy
i feel like i learn a lot from the yard and the experience of caring for it,love
im perfectly fine with having another weeks left its turned out to be a lot of fun and quite empowering to crossfit while pregnant and i feel amazing yet,surprise
i feel hated i feel like i dont belong and more and more i feel that i want to die,sadness
i feel like a stunned mullet or as roger s mother margie would say a burnt tree stump,surprise
i havent been feeling so hot,love
i wanted to write about in slapping clark gable but im feeling today like i live a completely ludicrous existence,surprise
i was feeling sad yesterday,sadness
i knew it would hurt their feelings if i didnt so i graciously accepted it,love
i feel im a romantic,love
i feel like my life is just this one neverending television show without a resolution in sight with the producers getting greedy because of the amusement i and my situations provide and that creator out there trying to maximize an already sorry situation because its supposed to sell,anger
im feeling stunned,surprise
i was really able to start bonding with them and feel the closeness that i had been longing for,love
i want to talk about this share it post about it on facebook but i feel so selfish being this anguished about an week old fetus when i know people who have lost babies and children they felt knew loved,anger
i supposed to feel about a persom that i was wickdly in love with for so long for me who tells me that he will not see me when hes got a girlfriend because he can not be faithful to her if im around,love
i think i must be feeling funny this morning,surprise
i feel things for everyone in my fucking life i wish i could just shoot them and then do what i feel i need to do to satisfy my curiosity savage urge,anger
i feel like sometimes i have to choose be there and be supportive now or go to school get good grades good job and be there and be much more capable of being supportive later on in life,love
i have to say im a tad under the weather the british flu has caught me out again and im feeling slightly miserable so i thought what better way to distract myself than writing a short post on my new favourite kabuki brush,sadness
im hoping to find more about and so for once if i get an invitation or have a need for an early start to my day then feel a selfish streak in me coming out,anger
i tell you i feel so amazing when i do take minutes to truly wind down before leaving the room,surprise
i can feel the end coming here i am amazed i managed to make it through these past couple of weeks,surprise
i would say that i do feel more energetic,joy
i know the first few days i ll be gripping the shower floor with my toes still feeling a gentle rocking back and forth,love
i feel very horny and we are both in the mood but im not enough an erection in im a semi by the time we broke that ive gained about pounds of muscle and lifting heavy but was not taking steroids,love
i wasnt really interested in doing anything too sexual mostly because i didnt want to focus on other peoples feelings and i was too dazed and tripping to care,surprise
i feel like i am constantly amazed by hallie,surprise
i am coming into prince fredrick md i feel this violent shaking similar to hitting tall rumble strips at mph so i immediately slow down and check my mirrors,anger
im one of girl who feel insecure about herself always,fear
i reported in i had damaged my ankle and was feeling pissed off as i remember nothing like having a young dog to train the best bit about training and having to put your feet up for weeks,anger
i was still a student i feel curious anxious and fascinated by the universe and the latest science,surprise
i always feel weird out at events without him now especially when i see all the other couples around me,surprise
i looked at the list of the people attending i started to feel curious and excited to see these people again,surprise
i am beginning to get the feeling though that even the most loyal united fans are starting to wonder about the next iker casillas after watching west bromwich albion s shane long hit a long slow bobbling shot into the far corner of the net today,love
i feel like it will be resolved,joy
i become more comfortable in this remodeled office i am feeling much gratitude for its wonderful amenities,joy
i feel frustrated that childhood obesity is a problem because it is for the most part preventable,anger
i feel like im always cranky anymore,anger
i mean i am always feeling awkward i do not dress right or wear my make up right and it is a total crapshoot as to the state of my hair on any given morning,sadness
ill be back in the blog o sphere in full force and helping joe as much as i can to promote his amazing practice and i cant help but feel in the pit of my stomach that amazing things are coming our way,joy
i blogged about them because as i said it is a cause i feel very passionate about,love
i find myself feeling really unsure about how to act,fear
i asked this person how she was approaching this issue the answer was oh i m being very specific i m saying even though i don t feel loved i deeply and completely accept myself,love
i guess made me feel pleasantly surprised,surprise
i feel over being selfish,anger
i have posted and i feel like i owe my few loyal readers an explanation,love
i feel really accepted in my place now in this world,love
i was feeling impatient jealous sad lonely hopeless and frustrated among other things and i started balling in my office in the middle of a tuesday,anger
ive only been feeling somersaults instead of jabs from our sweet babe but as she put it its like punching a pillow in there,joy
i have stopped feeling surprised,surprise
i feel lost and i m not sure what to do,sadness
i do kinda feel slutty after last week,love
i don t want to get between you and girlfriend or make our friendship weird but the flirting stuff makes my feelings confused,fear
i was laying on the couch feeling rotten while dave and lin had a screaming loud tickle fight i decided id had enough,sadness
i actually feel pressured to have this baby by a certain date,fear
i so love and want back but acting that way is out of the norm for me so i feel weird which leads to me being self conscious which then leads to me going back to my normal morose self,surprise
i feel amazed myself as well for being touched easily by beautiful feeling here and there,surprise
i wont give up encompasses the mixture of feelings that one experiences in loving truthfully whether it be love for family friends or that special someone,love
i feel stressed a minute workout gives me an instant boost of energy and helps me refocus,anger
i am battling anxiety and feeling overwhelmed quite a bit lately,surprise
i actually think i will because lately i am not feeling myself getting distracted as easy with odd thought,anger
i seem to have gotten over that but it doesn t mean i still don t feel a little hesitant and nervous broaching the subject of having some me time or heading out for a night with the girls as if i question whether i really deserve it,fear
i was able to get through yoga fine but can feel it a lot and it is tender to the touch right by my armpit,love
im feeling marginally out of control and carefree this morning,joy
i felt like i was right there in her skin feeling absolutely everything from outrage to hurt to desperation,sadness
im feeling massively resentful about all kinds of rational and irrational things,anger
i feel jealous when hes with another i feel lonely when were apart,anger
i like to share my feelings on how i liked it and whether or not i wasted my hard earned money on it,love
